,source,target
7590,wonderful things can happen when you sow seeds of distrust in a garden of assholes,when you sow a seed of mistrust in a garden big things are going to happen
7591,those will be the only ones you ll like when you study chemistry wearing a fucking sausage and greasy hair,because they re the only men who ll like you a chem student in a lab coat with liverwurst stains and greasy hair
7592,i m in command here goddamn it,i m in charge here
7593,there s nothing wrong with fucking your boss,ain t nothin wrong with beddin the boss
7594,exactly she invited us to a slumber party you re a bitch,actually she was throwing us a slumber party you just butted in
7595,some of them miserable,some of them doing lousy
7596,we re screwed,we are doomed
7597,i m going to stab you prepare to die,i m going to stabyou brace yourself for the blade
7598,because if our director ever finds out that his environmental officer couldn t see a tree two feet in front of him he ll kick my ass,because if our manager ever found that his environmental officer hadn t noticed a tree six inches in front of him he might have kicked me out
7599,a ridiculous name for a scientist,that s a funny name for a scientist
7600,you ll puncture your stomach,the belly is pierced
7601,can t this damn thing go any faster,can t this thing go faster
7602,that s pathetic,it s pretty lame
7603,what an asshole,what a hoot
7605,trust me you re gonna like pigs in a blanket,trust me you re going to love pastries
7606,it can t be the fucking cops,they can t be cops
7607,tell me how i m supposed to help you cos you kept this goddamn thing a secret,tell me how i m supposed to help you cause you kept it secret
7608,no once you screwed the pooch you were in very deep shit and your friends evaporated like the morning mist and somehow strokov didn t strike ryan as one who had all that many friends anyway,no as soon as a man fell to his mouth he was in a heap of trouble and his friends were gone like steam over the pot and strokov didn t seem like a man who boasts a lot of friends
7609,i know and those evil sons of bitches know it too,i know and the bad guys know it too
7610,if you were sick you d die,if you were sick if you were dying
7611,and together we ll go for one two fuck,and we re gonna shuffle over there in one two shuffle
7612,dude you need to move down here marry marta you know get a good ass job working with fucking tourists or something,dude you should move in here take marta find a cool job maybe accompany the tourists or something
7613,yeah after we made the exchange our potential business partners got followed by some fucking cops,after the exchange with our potential partners they pursued them
7614,to watch hilary faye as she tries to get into your easter trash,so we can watch hilary faye try and get into your easter basket
7615,i said shoot him now,i said take him down now
7616,because the other three are figments of your fucking imagination,i don t know because the other three are a figment of your imagination
7617,oh shit sarah sam looked away and nearly laughed,sam looked away and nearly laughed
7618,jesus fuck you passed him,jesus christ you missed him
7620,damn it,bloody good
7621,fool,big beta
7622,damn it s iron,goddammit it s metal
7623,i don t want to live in this damn town,the town i wanna live in isn t even in this state
7624,zach s name is the dumbest celebrity and michael now that he s scored with a couple of women he s got that extra confidence,zach name drops the lamest celebrities and michael now that he s scored with a couple women has this weird confidence
7626,explain to me how that makes sense in any fucking universe,explain to me in which universe does this make sense
7627,you don t have fucking qualifications to get us off this ship,you re not qualified to get us off this ship
7629,quit breaking my shit,stop breaking me
7631,well goddamn it,oh my god
7632,fugazy,ferguzy
7633,i don t give a shit what dr heiden schmeiden says,i do not care what the dr heidecker said
7634,sergeant get that asshole o neill up here,sir get that dick o neill in here
7635,you this fool and who else,you the munchkin and who else
7637,his hands curled into balls,his fists clenched
7638,i m just saying they all the time hustling around cutting prices and doing shit,i m just saying that they keep popping in here cutting prices and rolling
7639,damn milton,bugger milton
7640,that s ridiculous,that s crazy
7641,i bought your record nigger,hey blud i bought your mix tape
7642,fuck,argh
7643,if you can t find that stuff in life then you my friend don t know crap about life,if you re not able to find that kind of thing in life then my friend you don t know much about life
7644,one big whore,a very big ho
7645,to hell with you,off with ya
7646,if we just play songs about how much we love jesus all the christians will buy our crap,when we play the way we love jesus every christian buys it
